metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
Merton_College_MS_300_measure_3,manuscript_10398,Merton_College,Merton_College_MS_300,Merton College MS. 300,part,,Merton_College_MS_300-part2,,,,,,,,,,,,,,,,,,,,425.0,425.0,425.0,275.0,275.0,275.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,60.0,60.0,60.0,300.0,300.0,300.0,180.0,180.0,180.0,mm,,,,,,,,,,,ink,
Merton_College_MS_300_measure_4,manuscript_10398,Merton_College,Merton_College_MS_300,Merton College MS. 300,part,,Merton_College_MS_300-part3,,,,,,,,,,,,,,,,,,,,305.0,305.0,305.0,210.0,210.0,210.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,33 35,35.0,33.0,240.0,240.0,240.0,c. 130,c. 130,c. 130,mm,,,,,,,,,,,,
Merton_College_MS_301_measure_1,manuscript_10399,Merton_College,Merton_College_MS_301,Merton College MS. 301,manuscript-composite,,Merton_College_MS_301,240 leaves (i + 239) The edges retrimmed and spattered with red.,239.0,,1.0,,,,,,,,,,,,,,,,270.0,270.0,270.0,210.0,210.0,210.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,41.0,41.0,41.0,165.0,165.0,165.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
Merton_College_MS_301_measure_2,manuscript_10399,Merton_College,Merton_College_MS_301,Merton College MS. 301,part,,Merton_College_MS_301-part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,44.0,44.0,44.0,225.0,225.0,225.0,170.0,170.0,170.0,mm,,,,,,,,,,,,
Merton_College_MS_302_measure_1,manuscript_10400,Merton_College,Merton_College_MS_302,Merton College MS. 302,manuscript,,Merton_College_MS_302,338 leaves ( i + 337),337.0,,1.0,,,,,,,,,,,,,,,,280.0,280.0,280.0,205.0,205.0,205.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,45.0,45.0,45.0,190.0,190.0,190.0,140.0,140.0,140.0,mm,,,,,,,,,,,,
Merton_College_MS_303_measure_1,manuscript_10401,Merton_College,Merton_College_MS_303,Merton College MS. 303,manuscript-composite,,Merton_College_MS_303,262 leaves (ii + 260) The edges retrimmed affecting running heads and marginalia and spattered with red.,260.0,,2.0,,,,,,,,,,,,,,,,305.0,305.0,305.0,220.0,220.0,220.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,43.0,43.0,43.0,255.0,255.0,255.0,160.0,160.0,160.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_304_measure_1,manuscript_10431,Merton_College,Merton_College_MS_304,Merton College MS. 304,manuscript-composite,,Merton_College_MS_304,"386 leaves (iv + 375, plus three unnumbered folios after 267, four after 341) The edges stained yellow.",382.0,,4.0,,,,,,,,,,,,,,,,325.0,325.0,325.0,225.0,225.0,225.0,,,,mm,,,,,,,,,,,,,,,30.0,30.0,30.0,215.0,215.0,215.0,115.0,115.0,115.0,mm,,,,,,,,,,,,
Merton_College_MS_304_measure_2,manuscript_10431,Merton_College,Merton_College_MS_304,Merton College MS. 304,part,,Merton_College_MS_304-part1,,,,,,,,,,,,,,,,,,,,230.0,230.0,230.0,225.0,225.0,225.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,50.0,50.0,50.0,240.0,240.0,240.0,140.0,140.0,140.0,mm,,,,,,,,,,,,
Merton_College_MS_305_measure_1,manuscript_10402,Merton_College,Merton_College_MS_305,Merton College MS. 305,manuscript,,Merton_College_MS_305,207 leaves (ii + 205) The edges retrimmed affecting marginalia and spattered with red.,205.0,,2.0,,,,,,,,,,,,,,,,305.0,305.0,305.0,235.0,235.0,235.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,56.0,56.0,56.0,245.0,245.0,245.0,165.0,165.0,165.0,mm,,,,,,,,,,,crayon,
Merton_College_MS_306_measure_1,manuscript_10403,Merton_College,Merton_College_MS_306,Merton College MS. 306,manuscript-composite,,Merton_College_MS_306,"125 leaves (ii + 123) The edges heavily retrimmed and stained yellow. Made from rough parchment with the natural edge of the skin often visible on fore- and lower edges. Early foliation, 1–119.",123.0,,2.0,,,,,,,,,,,,,,,,305.0,305.0,305.0,220.0,220.0,220.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,57.0,57.0,57.0,265.0,265.0,265.0,195.0,195.0,195.0,mm,,,,,,,,,,,,
